GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-404	CWE-400	CWE-400	CWE-476	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-306	CWE-306	CWE-287	CWE-287	CWE-306	CWE-306
CWE-470	CWE-94	CWE-470	CWE-79	CWE-470	CWE-20
CWE-319	CWE-319	CWE-319	CWE-311	CWE-319	CWE-319
CWE-120	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-863	CWE-119	CWE-787	CWE-119	CWE-416	CWE-125
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-668	CWE-285	CWE-668	CWE-200	CWE-668	CWE-284
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-290	CWE-290	CWE-290	CWE-290	CWE-294	CWE-384
CWE-77	CWE-94	CWE-94	CWE-20	CWE-502	CWE-94
CWE-476	CWE-134	CWE-134	CWE-134	CWE-134	CWE-682
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-434	CWE-79	CWE-79	CWE-79	CWE-434	CWE-79
CWE-787	CWE-400	CWE-20	CWE-20	CWE-400	CWE-400
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-121	CWE-121	CWE-121	CWE-120	CWE-120
CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-327
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-190	CWE-190	CWE-680	CWE-122	CWE-190	CWE-190
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-20
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-436	CWE-113	CWE-113	CWE-494	CWE-113	CWE-20
CWE-755	CWE-347	CWE-323	CWE-664	CWE-326	CWE-400
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-787
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121
CWE-346	CWE-269	CWE-285	CWE-269	CWE-250	CWE-269
CWE-77	CWE-78	CWE-77	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-287	CWE-287	CWE-287	Error	CWE-184	CWE-20
CWE-190	CWE-190	CWE-190	Error	CWE-122	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-352	CWE-352	CWE-79	CWE-79	CWE-352	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611
CWE-787	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-401	CWE-399	CWE-401	CWE-401	CWE-401	CWE-401
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-787	CWE-121	CWE-120	CWE-121	CWE-120	CWE-120
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-119	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-404	CWE-20	CWE-400	CWE-400	CWE-400	CWE-400
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-862	CWE-862	CWE-862	CWE-862	CWE-284	CWE-285
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-24	CWE-22	CWE-22	Error	CWE-23	CWE-22
CWE-327	CWE-295	CWE-16	CWE-16	CWE-319	CWE-327
CWE-119	CWE-787	CWE-787	CWE-787	CWE-416	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-73	CWE-117	CWE-117	CWE-117	CWE-117	CWE-20
CWE-321	CWE-321	CWE-321	CWE-798	CWE-321	CWE-327
CWE-131	CWE-404	CWE-755	CWE-789	CWE-824	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-203	CWE-200	CWE-203	CWE-203	CWE-204	CWE-306
CWE-918	CWE-200	CWE-200	CWE-200	CWE-209	CWE-532
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-668	CWE-125	CWE-404	CWE-401	CWE-131	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-843	CWE-843	CWE-843	Error	CWE-843	CWE-476
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-290	CWE-345	CWE-290	CWE-20	CWE-294	CWE-285
CWE-787	CWE-119	CWE-120	CWE-120	CWE-120	CWE-119
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-787
CWE-22	CWE-22	CWE-22	CWE-20	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-755	CWE-119	CWE-460	CWE-14	CWE-824	CWE-20
CWE-434	CWE-434	CWE-434	Error	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-125	CWE-119	CWE-125	CWE-125	CWE-125	CWE-399
CWE-362	CWE-416	CWE-362	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-77	CWE-78	CWE-78	Error	CWE-78	CWE-78
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-434	CWE-20
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-307	CWE-285	CWE-307	CWE-307	CWE-307	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-125	CWE-20	CWE-20	CWE-400	CWE-400	CWE-399
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-327
CWE-22	CWE-22	CWE-22	Error	CWE-23	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-639	CWE-285	CWE-285	CWE-862	CWE-284	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-787	CWE-787	CWE-787	CWE-122	CWE-787	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-601	CWE-601	CWE-601	CWE-601	CWE-601	CWE-601
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-119	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-22	CWE-918	CWE-284	CWE-434	CWE-73	CWE-22
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-798	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-269	CWE-22	CWE-284	CWE-276	CWE-388	CWE-78
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-639	CWE-200	CWE-284	CWE-284	CWE-200	CWE-287
CWE-119	CWE-119	CWE-119	CWE-20	CWE-119	CWE-20
CWE-787	CWE-400	CWE-20	CWE-20	CWE-400	CWE-400
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-476	CWE-476	CWE-476	CWE-20	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-94
CWE-908	CWE-119	CWE-457	CWE-20	CWE-457	CWE-665
CWE-22	CWE-434	CWE-22	CWE-2	CWE-22	CWE-22
CWE-426	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-862	CWE-285	CWE-284	CWE-284	CWE-284	CWE-306
CWE-639	CWE-639	CWE-639	CWE-639	CWE-639	CWE-668
CWE-798	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-434	CWE-434	CWE-434	CWE-464	CWE-434	CWE-434
CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-863	CWE-284	CWE-284	CWE-862	CWE-284	CWE-20
CWE-346	CWE-345	CWE-346	CWE-352	CWE-20	CWE-601
CWE-327	CWE-330	CWE-331	CWE-327	CWE-321	CWE-521
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-119	CWE-119	CWE-120	CWE-122	CWE-119
CWE-862	CWE-285	CWE-862	CWE-862	CWE-284	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-306
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-862	CWE-352	CWE-284	CWE-862	CWE-352	CWE-352
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22
CWE-787	CWE-121	CWE-121	Error	CWE-121	CWE-120
CWE-787	CWE-400	CWE-400	CWE-400	CWE-789	CWE-119
CWE-79	CWE-285	CWE-284	CWE-79	CWE-862	CWE-20
CWE-502	CWE-79	CWE-502	Error	CWE-502	CWE-502
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-913	CWE-94	CWE-400	CWE-78	CWE-95	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-400	CWE-833	CWE-833	CWE-366	CWE-362	CWE-362
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-613	CWE-613	CWE-613	CWE-661	CWE-620	CWE-287
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-639	CWE-285	CWE-639	CWE-639	CWE-639	CWE-284
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-20
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120
CWE-732	CWE-732	CWE-276	Error	CWE-275	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-120	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-798	CWE-798	CWE-259	CWE-798	CWE-259	CWE-798
CWE-78	CWE-78	CWE-78	Error	CWE-78	CWE-78
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22
CWE-502	CWE-79	CWE-502	CWE-502	CWE-502	CWE-502
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-362	CWE-415	CWE-362	Error	CWE-362	CWE-416
CWE-116	CWE-117	CWE-117	Error	CWE-117	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-119	CWE-119	CWE-119	CWE-120	CWE-1194	CWE-119
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532
CWE-434	CWE-434	CWE-434	Error	CWE-434	CWE-434
CWE-668	CWE-404	CWE-404	CWE-401	CWE-401	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-918	CWE-918	CWE-918	Error	CWE-918	CWE-918
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-352	CWE-352	CWE-352	Error	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-754	CWE-690	CWE-129	CWE-191	CWE-131	CWE-476
CWE-611	CWE-94	CWE-94	CWE-434	CWE-20	CWE-78
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-94	CWE-94	CWE-94	CWE-94	CWE-94	CWE-94
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-300	CWE-300	CWE-300	CWE-346	CWE-300	CWE-284
CWE-436	CWE-113	CWE-113	CWE-113	CWE-113	CWE-20
CWE-125	CWE-119	CWE-125	CWE-125	CWE-119	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-190	CWE-190	CWE-190	CWE-170	CWE-190	CWE-190
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20
CWE-362	CWE-362	CWE-362	CWE-362	CWE-362	CWE-362
CWE-863	CWE-285	CWE-285	CWE-862	CWE-284	CWE-285
CWE-610	CWE-61	CWE-59	CWE-61	CWE-246	CWE-22
CWE-94	CWE-94	CWE-94	CWE-77	CWE-94	CWE-94
CWE-59	CWE-269	CWE-59	CWE-269	CWE-427	CWE-269
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22
CWE-89	CWE-89	CWE-89	Error	CWE-89	CWE-89
CWE-120	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-119	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-77	CWE-78	CWE-78	Error	CWE-78	CWE-78
CWE-319	CWE-319	CWE-319	CWE-311	CWE-295	CWE-310
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-522
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78
CWE-346	CWE-494	CWE-20	CWE-400	CWE-1321	CWE-345
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-640	CWE-287	CWE-640	Error	CWE-257	CWE-287
CWE-436	CWE-93	CWE-20	CWE-74	CWE-1321	CWE-20
CWE-346	CWE-269	CWE-285	CWE-269	CWE-250	CWE-269
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-502
CWE-79	CWE-79	CWE-284	CWE-79	CWE-79	CWE-94
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80
CWE-798	CWE-20	CWE-20	CWE-77	CWE-20	CWE-20
